Type,drug,target
BLCA,ERDAFITINIB|ENFORTUMAB VEDOTIN-EJFV|MITOMYCIN|VALSTAR|ATEZOLIZUMAB|KEYTRUDA|METHOTREXATE SODIUM|BALVERSA|OPDIVO|BAVENCIO|VALRUBICIN|IMFINZI|PEMBROLIZUMAB|TECENTRIQ|PADCEV|METHOTREXATE|DOXORUBICIN HYDROCHLORIDE|DURVALUMAB|CISPLATIN|THIOTEPA|NIVOLUMAB|JELMYTO|AVELUMAB,FKBP15|SALL3|NQO1|DUSP28|B2M|CD226|ATP9B|S100A12|GPR35|FGFR4|C18orf63|HDAC4|TAT|NHLRC1|SMIM21|CCDC102B|NTRK1|FGFR3|ANKMY1|NDUFA10|ZNF236|FAM132B|SCLY|CDH7|AC016757.3|XPC|ALOX5|RAMP1|CLCN6|PASK|FAM69C|PER2|SOCS6|PMS2|FBXO15|FGFR2|CNDP1|CNDP2|KRAS|ATIC|RBM44|CYP2B6|CD3EAP|ZNF516|ZADH2|KIT|PTEN|GALR1|NR1I2|NETO1|FOLH1|TMEM43|SLC19A1|CDKN1B|FGFR1|ANO7|MSH2|SLC31A1|AC110619.2|XRCC3|RP11-162A12.2|UBE2F-SCLY|RP11-861L17.3|MLH1|ASXL1|STK25|RP11-321M21.3|JAK2|JAK3|JAK1|CX3CL1|TRAF3IP1|RP11-723G8.2|PRR21|TOP2A|DSEL|CTLA4|FARP2|KLHL30|TSHZ1|PPP1R7|ESPNL|ASB1|AFP|IL1RN|TP53|ESR1|CD274|UBE2F|TIMM21|BAIAP3|CCND1|OTOS|HES6|TMX3|CBLN2|AC062017.1|RNPEPL1|POLE|RP11-41O4.1|ITIH1|AGXT|ITIH3|GLS|FLT3|KCNA1|RTTN|TPM3|CDH19|ICAM3|S100A8|LRRFIP1|KIF1A|BIRC5|SNED1|PDCD1|ACVR2A|ALDH3A1|ARVCF|MTHFR|MECP2|TPMT|COMT|BAX|GTSCR1|ADA|LINC00908|LRP2|GALNT14|ALK|GSTM1|GSTM4|CAPN10|IL2|C2orf54|ZNF407|SLAMF1|RP11-17M16.1|TOP2B|DHFR|ERCC2|MSH3|EGFR|MSH6|FCGR3B|SLCO1B1|AC093802.1|AC104809.3|ALDH1A1|OR6B2|OR6B3|HLA-DRA|AC079612.1|TWIST2|NRAS|RB1|DOK6|AQP12B|AQP12A|SEPT2|MBP|KRT20|SULT2A1|NR3C1|HDLBP|HSPB2|RP11-94B19.4|RP11-169F17.1|GPC1|ILKAP|WRAP53|HGF|CYB5A|MTERFD2|E2F1|NOTCH1|TYMS|GSTP1|KDR|MYEOV2|BRAF|ABCC4|PPP1R13L
DLBC,BENDAMUSTINE HYDROCHLORIDE|TRUXIMA|TAZEMETOSTAT HYDROBROMIDE|DUVELISIB|PENTOSTATIN|PRALATREXATE|MOZOBIL|METHOTREXATE SODIUM|IDELALISIB|ZEVALIN|923288-90-8|ISTODAX|COPANLISIB HYDROCHLORIDE|REVLIMID|BENDEKA|L-ASPARAGINASE|OBINUTUZUMAB|IDARUBICIN HYDROCHLORIDE|IBRITUMOMAB TIUXETAN|INOTUZUMAB OZOGAMICIN|CYTARABINE|PONATINIB HYDROCHLORIDE|ALEMTUZUMAB|CARFILZOMIB|METHOTREXATE|BLEOMYCIN SULFATE|RECOMBINANT INTERFERON ALFA-2B|OFATUMUMAB|SELINEXOR|COPIKTRA|LENALIDOMIDE|VINBLASTINE|BLINATUMOMAB|KYMRIAH|6-MERCAPTOPURINE|IXAZOMIB|TISAGENLECLEUCEL|ONTAK|IMBRUVICA|POLIVY|BRUKINSA|BRIGATINIB|RITUXIMAB AND HYALURONIDASE HUMAN|VENETOCLAX|PANOBINOSTAT LACTATE|BICNU|AZD-9291 MESYLATE|ACALABRUTINIB|VELCADE|ZOLINZA|ADCETRIS|ASPARAGINASE|FLUDARABINE PHOSPHATE|BELEODAQ|NILOTINIB|THALIDOMIDE|TREXALL|BRENTUXIMAB|PONATINIB|MIDOSTAURIN|BOSUTINIB|POLATUZUMAB VEDOTIN-PIIQ|INTRON A|MITOXANTRONE HYDROCHLORIDE|DASATINIB|BEXAROTENE|MECHLORETHAMINE HYDROCHLORIDE|RITUXAN|RITUXAN HYCELA|IDARUBICIN|FLUDARABINE|ZYDELIG|MOGAMULIZUMAB-KPKC|BORTEZOMIB|DAUNORUBICIN|PLERIXAFOR|LEUKERAN|VINCRISTINE SULFATE|POMALIDOMIDE|CALQUENCE|MITOXANTRONE|CARMUSTINE|BELINOSTAT|GAZYVA|TREANDA|AXICABTAGENE CILOLEUCEL|FOLOTYN|DARATUMUMAB|5-AZACYTIDINE|BUSULFAN|ARSENIC TRIOXIDE|HOMOHARRINGTONINE|ALIQOPA|ROMIDEPSIN|DENILEUKIN DIFTITOX|MUSTARGEN|ARRANON|CLADRIBINE|ELOTUZUMAB|CHLORAMBUCIL|PREDNISONE|XPOVIO|PANOBINOSTAT|VINCRISTINE|VENCLEXTA|ABT-199|VINBLASTINE SULFATE|IXAZOMIB CITRATE|CLOFARABINE|VORINOSTAT|AZD-9291|TAZVERIK|RITUXIMAB|ZANUBRUTINIB|COPANLISIB|DEXAMETHASONE|POTELIGEO|BRENTUXIMAB VEDOTIN|DACARBAZINE|CYCLOPHOSPHAMIDE|IBRITUMOMAB|PEMBROLIZUMAB|IMATINIB|HYDROXYUREA|MELPHALAN|6-THIOGUANINE|IMATINIB MESYLATE|DOXORUBICIN HYDROCHLORIDE|RETINOIC ACID|NELARABINE|23541-50-6|YESCARTA|KEYTRUDA|ARSENIC|IBRUTINIB,C3orf83|CRKL|HSPA4|CHD8|STK10|HSPA8|PCSK6|CPAMD8|PSMB11|PSME2P2|HIPK4|PDCD11|TAT|SMG1|CDC73|CAMK1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|GSR|CRBN|DDB1|VDAC1|SCLY|IGF1R|STK11|NR5A1|TPM3|IFNG|CAMK2G|IL2RB|CAMK2B|PIK3C2B|PIK3C2A|PIK3C2G|CSF3R|CYP3A4|PIK3C3|GATA2|NLK|CNDP2|GATA1|HIPK3|AKAP6|JAK2|ORM1|POU2AF1|CCND1|TUBB4B|ASXL1|B2M|PTEN|GSTM1|CD226|ADH1C|TUBE1|TNFSF11|CDKN1B|CDKN1A|ALDH3A1|MLL3|MLL2|MYO18B|CAPN10|APOA1|RP11-162A12.2|XPO1|APOE|APOB|GCG|PVT1|MST1|TTK|RP11-321M21.3|TNFRSF8|JAK3|NF1|STAG3|KSR2|ZNF516|NR1H3|ALPK1|FAM123B|ALPK2|TSPYL2|HOXB1|PAXIP1|BLM|PPARG|PPARD|VEGFA|BLK|VEGFB|HCK|CHST3|RTTN|ING1|TNK2|GSTO1|RPS6KA6|PSMD14|PSMD11|PSMD10|CBL|PSMD12|MAP3K2|ACOXL|ITGAL|HES1|VWF|EIF4A1|NR0B1|KRT19|CD19|MYH11|DNMT1|CD40LG|RALBP1|SMAD4|SRGAP3|PZP|SMO|EIF4E|POLE|MKRN2|AKAP12|POLB|FH|CYFIP1|GLS|GPRC5A|CAMK1D|MDK|NCOA4|PRAME|TUBB2A|ASPH|NR2F2|PSMD10P3|RET|S100A8|RBM15|PSMD10P2|UBE2F-SCLY|EIF4B|PSMD10P1|RP11-17M16.1|RIF1|NAT2|RXRG|MYLK3|RXRB|PSMD3|PSMD2|WEE1|SRPK3|SRPK2|CYP2C9|IL2RA|HGF|ALK|IL2RG|F9|FOXO1|TP73|SI|SPP1|PRKD1|PRKD3|BRCA1|TOP2B|PSMD9|PSMD8|PSMD5|PSMD4|PSMD7|PSMD6|EGFR|BAX|PTPRZ1|CTNNB1|PLCG2|MAPK10|MAGEA1|OR6B2|OR6B3|EPS15|PGD|CDK19|MYOD1|DPYD|TWIST2|CDK17|SULF1|PIPSL|CXCR2|YES1|CXCR4|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|FOLH1|NOS1|NOS2|NOS3|AC110619.2|ITGB6|RP11-169F17.1|FBN2|HLA-DRA|CLCN6|P2RY2|TTBK1|MTERFD2|SEM1|E2F1|PNP|CALR|CCNA1|CYB5A|MAP3K12|MAP3K13|STK4|PPP1R13L|EWSR1|EEF2|LIF|NQO2|PDGFRA|NQO1|IKBKB|TNRC6B|FCGR1A|IKBKE|ROS1|FBLN5|PI4KB|RARA|RARB|TUBA3E|TUBA3D|RARG|SIX4|NFE2L2|PSMB10|SAG|FGR|CNDP1|NDUFA10|RPE65|CDH1|PSMD1|CDH5|MYEOV2|CDH7|WT1|AC093802.1|EXT2|CDKN2D|TPO|TSC22D3|RAMP1|JAZF1|FAM69C|KLK3|FIP1L1|ARID1A|SLC2A4|C1QC|C1QB|SLC2A1|CSF3|CD3EAP|WNK1|DBF4|WHSC1|NETO1|APC|ACTB|TMEM40|NGF|CYB5R4|BCL11B|FUS|COPS5|PI4KA|ITGB2|CNTN6|SLC29A2|SLC29A1|CNTN5|HSPB2|ATP7A|MYCN|RP11-861L17.3|NEK1|ZNF608|MKL1|ROR2|CEACAM1|COL18A1|STK25|SRMS|PRKG1|CDC42BPA|TUBD1|BMX|PRR21|TXNRD1|INCENP|FARP2|TCF3|XPC|PRRX1|IGFBP1|HES6|HSPB8|RBX1|SHH|FBN1|AFP|TUBB2B|DPEP1|MGA|TRAF3IP1|TBP|DNAH8|TUBB|GPR112|DDRGK1|TP53BP1|BTK|ILKAP|HDAC1|PDGFRB|HDAC3|HDAC2|HDAC5|HDAC4|HDAC7|HDAC6|HDAC9|HDAC8|ATM|RFC1|CYP4B1|WLS|CSMD3|ATR|RP11-41O4.1|CHAT|FABP1|STK24|CD40|WDHD1|FLT3|POLD1|CSF1R|FANCC|AC104809.3|LRRFIP1|TBX18|MAPK6|FANCL|NOVA1|VGLL4|HAS3|TGFBR3|ACVR2A|NTF3|FRK|SERPINE1|TPMT|IL6R|DLL1|NUDT10|GTSCR1|LINC00908|EP300|NFKB2|TAOK3|TRIT1|ALOX5|ITK|ARNT|SLC22A16|SLC22A12|IRS2|CDK2|PPAT|CDK4|FANCI|ESPNL|CDK8|FBXW7|SLAMF1|OBSCN|POLA2|POLA1|TGFBR2|ERCC1|MSH2|MSH3|MSH6|CYP17A1|EZH2|MCL1|SMARCA4|ELL|AXIN1|TPPP|ADCK4|RGL2|FYN|ADCK3|RB1|SNORD68|TET1|ABCB1|ZAP70|AURKB|ABCB4|SULT2A1|PRKCI|PRKCH|TET2|PRKCA|PSME4|NR4A1|FCGR2B|PRKCD|PRKCG|FCGR2A|ABCC4|PRKCZ|CASC5|SLK|PRKCQ|TUBA4A|CTNNA2|TAMM41|BAI1|TTBK2|MAML1|NOTCH1|NOTCH2|ABCC1|SCRIB|ITGAV|ITPA|CYP2C19|ADH1A|CALCA|PTCH1|MMP2|GDA|CD38|PMAIP1|TBX21|PRPF4B|AGER|FBXO15|CHN1|BCL2L2|ALPL|GPR35|RANBP17|PPP1R7|DCK|PPP1R3A|BHLHE40|MAP3K1|MAP3K6|RORB|WDR63|NF2|ERBB2|ERBB3|BRCA2|ERBB4|IDH2|IDH1|JAK1|HOXD1|PASK|NR2C2|PER2|PER1|NR2C1|RPL13|FGFR4|IL12RB2|FGFR2|FGFR3|FGFR1|ATIC|RBM44|AKT1|CXCL8|CCL17|NEDD9|KIT|SPEN|F2R|GALR1|RUNX1|HDAC11|HDAC10|LZTR1|CD3E|CD3G|DSEL|RRM2B|CLSPN|HRAS|CRTC3|XRCC5|PSMC1P1|SEPT2|IL1R2|PPM1E|GUCY2F|MET|EGR2|JUN|PPARGC1A|XDH|CHKA|TIAM1|TRPM8|KIF1A|TRPM6|TRPM7|FAM132B|NPPC|THRSP|EPHB2|CTLA4|EPHB1|EPHB6|TUBB8|SULT1C4|TUBB6|TSHZ1|TUBB3|TUBB1|PAX5|SLAMF7|ASB1|ICAM3|GPHN|RELA|TP53|DNTT|TNFRSF1A|DDR2|CD274|PSMD4P1|DDR1|NYNRIN|HOXC13|CYP2E1|UBE2F|PSMD13|POLE4|POLE3|TIMM21|SULT2B1|PRL|AGTR1|OTOS|LCK|PTH1R|VEGFC|SGK223|TGFB1|ACTC1|AC062017.1|LHFP|CCR4|SNED1|IL1B|RAF1|BCR|KCNA1|SLC10A2|DUSP28|SIK1|SIK3|SIK2|NAV3|HPRT1|SPG7|CBLN2|BMP2K|CD86|PSMA2|PSMA3|PSMA1|PSMA6|TSEN2|PSMA4|PSMA5|PSMA8|UBR5|KDR|SRC|DHFR|ERCC3|BCL2L11|RNPEPL1|SRI|PRKAA1|SALL3|GALC|OCLN|ATRX|CP|LYN|CYP1A1|CYP1A2|SGK3|CDA|RPSA|IL10|IL11|EIF2AK3|AGXT|ASNS|RARRES1|IL6|IL5|IL2|C2orf54|ZNF407|RRM2|CDH11|MAP4K2|MAP4K5|MCM3AP|CDH17|CDH19|BIRC5|DIP2C|FCGR3A|ECM1|FCGR3B|SLCO1B1|MAP2K2|MAP2K1|AC016757.3|RUNX1T1|TOP1|ZMYND10|MAP2K4|TEAD1|ALDH1A1|ALDH1A2|TEAD4|TYMSOS|CBS|MLLT4|FAS|PTHLH|OPLAH|CD3D|NIPBL|NRG1|TERT|MBP|NT5C2|POLE2|ANXA1|KMT2A|SMARCB1|MTR|PSMC3IP|MCM3|WRAP53|HLF|IMPDH1|TAGLN|CASP6|MLKL|SDS|INSR|PHF3|LPL|EPM2AIP1|IMPDH2|C1S|C1R|ABCC6|AC079612.1|BCL2|BCL2L1|PTGS2|TIMP4|MLH3|PSMF1|KLK7|MC2R|SGK196|EPO|SOAT1|ATP9B|S100A10|BDNF|S100A12|CD247|UBR1|C18orf63|MS4A1|SMIM21|CCDC102B|ZNF236|NTRK1|NTRK3|ANKMY1|CDKN2A|PHC1|ARHGAP26|SFTPA1|MYC|CTAG1B|DDIT3|SOD2|TUBG1|CD22|P4HB|HTR7|SOCS6|SMAD2|MGMT|ANKK1|PMS2|SMAD3|CSNK2A1|KRAS|ERC1|PDCD1|BMP4|BRSK1|HYAL2|ROBO2|XIAP|ZADH2|LDHA|NR1I2|DYRK2|HUNK|TLR4|HSD11B1|APP|SLC19A1|TNFRSF9|ZNF217|VDR|NR3C2|HLA-B|TRIM37|TRAF2|DCLK2|TDO2|CSF2|CLTC|ARID4B|ADRBK1|IL1R1|NPRL2|AMH|PREX2|LRRK2|PTH|TUBA1C|TUBA1B|TUBA1A|THBS1|PIK3R6|PIK3R5|PIK3R4|PIK3R3|PIK3R2|PIK3R1|RPGRIP1|MYD88|RP11-723G8.2|TOP2A|TRH|PRKCB|KLHL30|NCOA3|PRKCE|KRT20|C15orf2|FCGR2C|RHOH|MLL|RXRA|PKHD1|TFE3|PSME1|FGF2|IL1RN|ABCG2|TLK1|ETV6|VAV1|MPO|G6PD|HOXD13|TNFAIP3|KDM5A|SHBG|NRD1|TNF|HECW1|AIFM1|ARHGAP29|EPHA7|EPHA6|EPHA5|EPHA4|EPHA3|EPHA2|EPHA1|FFAR2|HNRNPH1|DIABLO|SACS|ABL1|ABL2|IKZF1|NCAM1|SORL1|MARK4|TEK|BTG1|CGA|TEC|CYP2B6|MAPK3|MAPK1|FASN|NBN|MAPK4|PML|NFKB1|MAPK8|DUSP6|DUSP1|PSMA7|TBXA2R|FSCB|MTHFR|HDLBP|RPL3|VCAM1|BCOR|ADA|ACHE|ADK|TAB1|TRPS1|DICER1|SOS2|RASGRF2|MT1F|ROCK1|GGH|TJP1|STAT5B|PRKACG|PSMB9|PSMB8|PSMB7|PSMB6|PSMB5|PSMB4|PSMB3|PSMB2|PSMB1|TRIB1|CD52|CD55|KALRN|RPS19|JUNB|NRIP1|LATS1|ANO7|ROCK2|RRM1|ADAM17|UGT1A5|ACKR3|UGT1A1|P2RX7|CUL4A|TXK|CAND2|TYMS|NRAS|GSTP1|MLH1|THPO|LRP1B|GLI1|DOK6|AQP12B|AQP12A|DGKB|TG|ADRM1|C1QA|DAPK1|VPS13B|ULK2|PDGFA|NR3C1|DNMT3A|ULK4|RP11-94B19.4|PSME2|PLAU|PLAT|GPC1|GGT1|TMX3|DACH1|BIRC3|NPM1|RASA1|PSME3|COL14A1|UBE3B|PTPRC|BRAF|GNA11|CARTPT|BAP1|FOLR1|PDE4DIP
LGG,MVASI|AVASTIN|AFINITOR DISPERZ|GLIADEL WAFER|PROCARBAZINE|TEMODAR|CARMUSTINE|AFINITOR|TEMOZOLOMIDE|EVEROLIMUS|CARMUSTINE IMPLANT|BICNU|BEVACIZUMAB|LOMUSTINE,BRCA1|GSR|SYNE1|STMN4|THBS2|HRAS|ATM|EGFR|PRL|RET|C1QB|CTNNB1|VHL|AKT2|AKT3|COL18A1|CSF2|FCGR1A|MMP9|MGMT|KIT|TSC2|HTRA1|TSC1|H2AFX|C1R|DPYD|PIK3CA|ATR|NRAS|RB1|CXCR2|AKT1|NF2|NF1|ANXA11|MYC|GGH|ERBB2|FLCN|BRCA2|STAG2|MTHFR|FCGR3A|IDH1|GNA11|FCGR2B|FCGR2C|PLAU|FCGR2A|MTOR|MSH6|VEGFC|VEGFB|ATRX|FKBP1A|ADK|SHMT1|KRAS|ARMS2|TP53|GNAQ|E2F1|ESR1|CXCL8|MPL|G6PD|C1QC|NOTCH1|C1QA|STK11|PTEN|MAOA|FCGR3B|BRAF|BAX|PBRM1|VEGFA|BAP1|SLC19A1|MMP2|MET
ESCA,KEYTRUDA|RAMUCIRUMAB|OPDIVO|TRASTUZUMAB,ERBB2|PDGFRA|BIRC5|FCGR3A|FCGR3B|AKT2|FCGR1A|MET|PIK3CA|PGR|KDR|ANXA1|ERBB3|IFNG|EGFR|FCGR2B|FCGR2C|FCGR2A|C1R|HGF|EPCAM|KRAS|ESR1|ARID1A|C1QC|C1QB|C1QA|PTEN|BRAF|C1S|APC
GBM,MVASI|AVASTIN|AFINITOR DISPERZ|GLIADEL WAFER|PROCARBAZINE|TEMODAR|CARMUSTINE|AFINITOR|TEMOZOLOMIDE|EVEROLIMUS|CARMUSTINE IMPLANT|BICNU|BEVACIZUMAB|LOMUSTINE,BRCA1|GSR|SYNE1|STMN4|THBS2|HRAS|ATM|EGFR|PRL|RET|C1QB|CTNNB1|VHL|AKT2|AKT3|COL18A1|CSF2|FCGR1A|MMP9|MGMT|KIT|TSC2|HTRA1|TSC1|H2AFX|C1R|DPYD|PIK3CA|ATR|NRAS|RB1|CXCR2|AKT1|NF2|NF1|ANXA11|MYC|GGH|ERBB2|FLCN|BRCA2|STAG2|MTHFR|FCGR3A|IDH1|GNA11|FCGR2B|FCGR2C|PLAU|FCGR2A|MTOR|MSH6|VEGFC|VEGFB|ATRX|FKBP1A|ADK|SHMT1|KRAS|ARMS2|TP53|GNAQ|E2F1|ESR1|CXCL8|MPL|G6PD|C1QC|NOTCH1|C1QA|STK11|PTEN|MAOA|FCGR3B|BRAF|BAX|PBRM1|VEGFA|BAP1|SLC19A1|MMP2|MET
